text_a	label
我的右腳外踝骨折一年多・平時有腳走路不敢用力・走路時間長了腳和小腿腫脹・三個月前拍片骨折處長好・為什麼腫脹不好 你的情況考慮局部有炎癥的可能性大一些。建議服用紅藥片，乙酰螺旋黴素片等治療觀察。必要時拍X線明確診斷。	1
我的右腳外踝骨折一年多・平時有腳走路不敢用力・走路時間長了腳和小腿腫脹・三個月前拍片骨折處長好・為什麼腫脹不好 骨折後因為傷處周圍內的血管或是淋巴管破裂。易引起骨折愈合後的水腫現象的這是正常的。建議可以做做熱敷等。同時建議可以口服點七厘散等活血的藥物進行調理吧。	1
全部症狀：手指關節不小心韌帶扭傷現在關節腫大痛發病時間及原因：治療情況：關節骨頭沒問題。看能用什麼有效的外敷藥治療。 首先建議拍片看看是否是有骨折啊。如果沒有骨折可能是軟組織傷啊。建議前3天冷敷。3天後熱敷試試。	1
全部症狀：手指關節不小心韌帶扭傷現在關節腫大痛發病時間及原因：治療情況：關節骨頭沒問題。看能用什麼有效的外敷藥治療。 扭傷建議找中醫骨傷科醫生辨證用中藥或手法（也可自己動手）正骨按摩，順筋，揉搓，可以服吲哚美辛片，雙氯滅痛片，地塞米松片。或局部外貼奇正消痛貼等治療，療效甚佳。	1
全部症狀：手指關節不小心韌帶扭傷現在關節腫大痛發病時間及原因：治療情況：關節骨頭沒問題。看能用什麼有效的外敷藥治療。 的情況一般考慮是關節炎引起的，可以口服消炎鎮痛藥物配合活血化瘀藥物治療，局部熱敷，烤電治療，建議你多休息，調節心情，多喝水，少食辛辣刺激食物，保證睡眠充足，註意防寒保暖，密切觀察。	1
全部症狀：手指關節不小心韌帶扭傷現在關節腫大痛發病時間及原因：治療情況：關節骨頭沒問題。看能用什麼有效的外敷藥治療。 首先建議拍片看看是否是有骨折啊。如果沒有骨折可能是軟組織傷啊。建議前3天冷敷。3天後熱敷試試。在當地醫生指導下口服一點三七傷藥片，雲南白藥氣霧劑也可以試試。而且一定要註意休息啊。這個需要很久的時間才能恢複的。而且註意防止再次受傷。	1
請問一下腦袋疼的厲害，基本整個腦袋都疼，睡覺也睡覺著，就是近來幾天的事，前幾天感冒高燒了，後來好了腦袋就一直疼，現在嗓子也發炎了，一咳嗽腦袋就疼，請問下吃點什麼藥啊 如果你有這方面的煩惱，請先到正規的醫院診斷，再根據醫生的指導進行治療，切勿自行用藥。	1
我父親肺癌中晚期，並患有糖尿病Ⅱ型，目前正在做穿刺活檢，醫生看了CT，說已經不能做手術了，只能吃中藥了。一個半月前，常常胸口疼，進醫院檢查時，痰有血絲目前，只是剛確診，穿刺報告還沒出來飲食方面需要注意什麼？應該多吃什麼？不能吃什麼？還有其他更好的治療方法嗎？ 患者朋友，肺癌是肺部最常見的原發性惡性腫瘤。一般早期常無表現，晚期才見咳嗽、咳血、胸痛、肥大性骨關節病以及癌瘤壓迫或轉移引起的癥狀。你的情況我建議，推薦你中藥治療，夏枯草、海藻、海帶、丹皮、瓜蔞、生地、野菊花、魚腥草、蒲公英。及時治療，效果非常好的。	1
我父親肺癌中晚期，並患有糖尿病Ⅱ型，目前正在做穿刺活檢，醫生看了CT，說已經不能做手術了，只能吃中藥了。一個半月前，常常胸口疼，進醫院檢查時，痰有血絲目前，只是剛確診，穿刺報告還沒出來飲食方面需要注意什麼？應該多吃什麼？不能吃什麼？還有其他更好的治療方法嗎？ 可以適當增加酸甜食物的攝入，有助於緩解胃口不適。多吃一些維生素含量高的新鮮蔬菜和水果，可有效增加抵抗力。中醫治療腫瘤方面，主要是去邪扶正，扶正固本，對身體免疫力起調節作用，但是療效有限。但是你可以嘗試一下，有的人效果還是很好的。建議你到醫院制定綜合科學的治療方案。不要貽誤診治，積極配合治療	1
我父親肺癌中晚期，並患有糖尿病Ⅱ型，目前正在做穿刺活檢，醫生看了CT，說已經不能做手術了，只能吃中藥了。一個半月前，常常胸口疼，進醫院檢查時，痰有血絲目前，只是剛確診，穿刺報告還沒出來飲食方面需要注意什麼？應該多吃什麼？不能吃什麼？還有其他更好的治療方法嗎？ 肺癌中晚期主要是放療和化療，待病情穩定後考慮給中藥治療。穿刺的病理結果很重要，可以指導臨床用藥。平時飲食要清淡，不要再吃肉了，多吃些含蛋白質高的蔬菜，如大豆等，肺與大腸相表里，還要註意通便。建議積極化療，有機會的情況下給予放療（γ刀治療），在病情穩定後可以給予中藥和最新的腫瘤細胞免疫治療。飲食主要是清淡飲食，加強蛋白營養補充。	1
斷奶乳房脹痛，有結塊。斷奶乳房脹痛，有結塊。剛剛摸了一點紅花油。 考慮是有斷奶期間有乳汁淤積引起的乳房腫塊的可能的。如果在退乳的過程中，出現乳房硬塊要用熱毛巾局部熱敷後輕柔，擠出少許乳汁即可。否則乳房過度膨脹會導致乳腺感染的可能。	1
斷奶乳房脹痛，有結塊。斷奶乳房脹痛，有結塊。剛剛摸了一點紅花油。 適當揉一揉。吃清淡一點的菜，到藥店買一包麥牙煮開，同時吃維生素b6，喝點水就可以了。奶很脹時，可以用冷或冰的毛巾撫一下會好一些。如果漲的疼，可以把硭硝放在布包里，貼在乳房上，可以緩解。主要還是要忍耐，實在疼的受不了了再用吸奶器，也不要吸的太多，因為越吸越有。	1
懷孕34周雙頂徑8。4cm股骨徑6。8cm我想問問是不是正常的 你這個數值的話是屬於正常範圍之內的，不需要很擔心的建議你定期複查超聲檢查及胎心監護為好的	1
早上沒吃早餐，噁心頭暈，看不清東西，站不穩，是為什麼？ 這種情況可能是貧血、低血壓、低血糖、營養不良等。貧血常見的癥狀有頭暈乏力、心慌氣短、食欲不振、皮膚粘膜蒼白、指甲扁平等。建議在醫師的詳細檢查後，在用藥治療。建議去醫院做檢查，如血常規、血糖、微量元素等，確診後做相應的治療。飲食要規律，營養要全面，避免挑食。註意鍛煉，增強體質。	1
偏頭痛，眼睛模糊，手麻木請大家幫幫忙怎樣治療，需要吃什麼藥，如何治療最有效 偏頭痛是一種反複發作的臨床常見癥狀，主要由神經元，特別是下丘腦神經元功能失調導致血管舒縮素紊亂引起。偏頭痛通常在青春期前後起病，歷時長達數年甚至數十年，頑固難愈。一般可考慮吃些中草藥川芎茶調散來治療。	1
懷孕八個月陰道到陰道口裡長了一塊肉不疼不癢怎麼辦啊 考慮陰道壁膨出可能，是因為懷孕子宮增大，壓迫盆底肌肉，造成盆底肌肉松弛引起。建議等孩子生下來後再治療。孕期治療是沒有效果的。	1
懷孕八個月陰道到陰道口裡長了一塊肉不疼不癢怎麼辦啊 像你這種情況考慮是局部的毛囊炎。請註意個人衛生，勤洗燥，勤換內衣褲。註意飲食要清淡，適時用些消炎藥。如果確實很擔的話建議你去醫院看看，做個白帶常規檢查一下	1
我寶寶誤喝了一爵臣牌清洗劑有事嗎用去醫院洗胃嗎 你的情況要考慮這個如果量比較多的話還是要到醫院進行洗胃治療的。	1
32+3周雙頂徑8。0股骨長6。2胎兒發？32+3周雙頂徑8。0股骨長6。2胎兒發育正常嗎。 ～你孩子的檢查結果是正常的，符合32周大小的檢查數據，別緊張和擔心註意加強營養和休息，多補鈣，多進食含有維生素和微量元素食物，營養均衡，定期孕檢	1
那做B超就能檢查出孩子畸不畸形嗎 鑒於這種情況一般來說如果孩子基本成型是可以的建議註意飲食及休息養成一個好習慣及營養的補充	1
那做B超就能檢查出孩子畸不畸形嗎 可以的。等胎兒發育的差不多的時候，可以去做一個三維或四維的彩超，這個檢查對胎兒的五官和四肢以及各大臟器的先天性畸形有很大的幫助建議你做一個三維或四維的彩超檢查，可以明確看出胎兒五官及四肢腹部臟器等。22周－26周的產篩（B超）是很關鍵的，也是決定胎兒的命運的檢查。一旦發現問題，就會停止孕育。	1
四歲小孩只要一躺下就不停的咳嗽，連續不斷地咳嗽，該怎麼治 寶寶咳嗽這情況考慮是呼吸道感染引起的，應該加用消炎藥物是比較好的，現在主要是註意有沒有出現支氣管炎，可以去醫院聽診檢查下，支氣管炎的話考慮輸液治療效果比較好，多餵開水，避免著涼。	1
患蛛網膜下腔出血，現右眼不能睜開，左眼內角下墜是什麼原因 這個很明顯是由於腦出血導致的神經壓迫引起的，建議先減輕顱內壓	1
腦淤血偏癱早期應吃啥藥和飲食 首先，應限制動物脂肪，如豬油、牛油、奶油等，以及含膽固醇較高的食物，如蛋黃、魚子、動物內臟、肥肉等，因為這些食物中所含飽和脂肪酸可使血中膽固醇濃度明顯升高，促進動脈硬化。可采用植物油，如豆油、茶油、芝麻油、花生油等，因其中所含不飽和脂肪可促進膽固醇排泄及轉化為膽汁酸，從而達到降低血中膽固醇含量，推遲和減輕動脈硬化目的。其次，飲食中應有適當蛋白質，常吃些蛋清、瘦肉、魚類和各種豆類及豆制品，以供給身體所需要的氨其酸。一般每日飲牛奶及酸牛奶各一杯，因牛奶中含有牛奶因子和乳清酸，能抑制體內膽固醇	1
